"Short","Class","Name","Detail"
"a","形容词","形容词","取英语形容词adjective的第1个字母"
"ad","形容词","副形词","直接作状语的形容词。形容词代码a和副词代码d并在一起"
"ag","形容词","形容词性语素","形容词性语素。形容词代码为a，语素代码ｇ前面置以A"
"al","形容词","形容词性惯用语",""
"an","形容词","名形词","具有名词功能的形容词。形容词代码a和名词代码n并在一起"
"b","区别词","区别词","取汉字“别”的声母。"
"begin","区别词","仅用于始##始",""
"bg","区别词","区别语素","区别词性语素。区别词代码为b，语素代码ｇ前面置以B"
"bl","区别词","区别词性惯用语",""
"c","连词","连词","取英语连词conjunction的第1个字母"
"cc","连词","并列连词",""
"d","副词","副词","取adverb的第2个字母，因其第1个字母已用于形容词。"
"dg","副词","辄、俱、复之类的副词","副词性语素。副词代码为d，语素代码ｇ前面置以D"
"dl","副词","连语",""
"e","叹词","叹词","取英语叹词exclamation的第1个字母"
"end","叹词","仅用于终##终",""
"f","方位词","方位词","取汉字“方”"
"g","学术词","学术词",""
"gb","学术词","生物相关词汇",""
"gbc","学术词","生物类别",""
"gc","学术词","化学相关词汇",""
"gg","学术词","地理地质相关词汇",""
"gi","学术词","计算机相关词汇",""
"gm","学术词","数学相关词汇",""
"gp","学术词","物理相关词汇",""
"h","前缀","前缀","取英语head的第1个字母"
"i","成语","成语","取英语成语idiom的第1个字母"
"j","简称","简称","简称略语 取汉字“简”的声母"
"k","后缀","后缀","后接成分"
"l","习用语","习用语","习用语尚未成为成语，有点“临时性”，取“临”的声母"
"m","数词","数词","取英语numeral的第3个字母，n，u已有他用"
"mg","数词","数语素","数词性语素。数词代码为m，语素代码ｇ前面置以M"
"Mg","数词","数词","甲乙丙丁之类的"
"mq","数词","数量词",""
"n","名词","名词","取英语名词noun的第1个字母"
"nb","名词","生物名",""
"nba","名词","动物名",""
"nbc","名词","动物纲目",""
"nbp","名词","植物名",""
"nf","名词","食品","比如“薯片”"
"ng","名词","名词性语素","名词性语素。名词代码为n，语素代码ｇ前面置以N。"
"nh","名词","医药疾病等健康相关名词",""
"nhd","名词","疾病",""
"nhm","名词","药品",""
"ni","名词","机构相关","不是独立机构名"
"nic","名词","下属机构",""
"nis","名词","机构后缀",""
"nit","名词","教育相关机构",""
"nl","名词","名词性惯用语",""
"nm","名词","物品名",""
"nmc","名词","化学品名",""
"nn","名词","工作相关名词",""
"nnd","名词","职业",""
"nnt","名词","职务职称",""
"nr","名词","人名","名词代码n和 人(ren) 的声母并在一起。"
"nr1","名词","复姓",""
"nr2","名词","蒙古姓名",""
"nrf","名词","音译人名",""
"nrj","名词","日语人名",""
"ns","名词","地名","名词代码n和处所词代码s并在一起。"
"nsf","名词","音译地名",""
"nt","名词","机构团体名","“团”的声母为t，名词代码n和t并在一起。"
"ntc","名词","公司名",""
"ntcb","名词","银行",""
"ntcf","名词","工厂",""
"ntch","名词","酒店宾馆",""
"nth","名词","医院",""
"nto","名词","政府机构",""
"nts","名词","中小学",""
"ntu","名词","大学",""
"nx","名词","字母专名",""
"nz","名词","其他专名","专”的声母的第1个字母为z，名词代码n和z并在一起。"
"o","拟声词","拟声词","取英语拟声词onomatopoeia的第1个字母。"
"p","介词","介词","取英语介词prepositional的第1个字母"
"pba","介词","介词“把”",""
"pbei","介词","介词“被”",""
"q","量词","量词","取英语quantity的第1个字母。"
"qg","量词","量词语素",""
"qt","量词","时量词",""
"qv","量词","动量词",""
"r","代词","代词","取英语代词pronoun的第2个字母，因p已用于介词。"
"rg","代词","代词性语素","代词性语素。代词代码为r，在语素的代码g前面置以R。"
"Rg","代词","古汉语代词性语素",""
"rr","代词","人称代词",""
"ry","代词","疑问代词",""
"rys","代词","处所疑问代词",""
"ryt","代词","时间疑问代词",""
"ryv","代词","谓词性疑问代词",""
"rz","代词","指示代词",""
"rzs","代词","处所指示代词",""
"rzt","代词","时间指示代词",""
"rzv","代词","谓词性指示代词",""
"s","处所词","处所词","取英语space的第1个字母。"
"t","时间词","时间词","取英语time的第1个字母。"
"tg","时间词","时间词性语素","时间词性语素。时间词代码为t，在语素的代码g前面置以T。"
"u","助词","助词","取英语助词auxiliary。"
"ud","助词","助词",""
"ude1","助词","的 底",""
"ude2","助词","地",""
"ude3","助词","得",""
"udeng","助词","等","等等 云云"
"udh","助词","的话",""
"ug","助词","过",""
"uguo","助词","过",""
"uj","助词","助词",""
"ul","助词","连词",""
"ule","助词","了 喽",""
"ulian","助词","连","连小学生都会"
"uls","助词","来","来讲 来说 而言 说来"
"usuo","助词","所",""
"uv","助词","连词",""
"uyy","助词","般","一样 一般 似的 xx般的"
"uz","助词","着",""
"uzhe","助词","着",""
"uzhi","助词","之",""
"v","动词","动词","取英语动词verb的第一个字母。"
"vd","动词","副动词","直接作状语的动词。动词和副词的代码并在一起。"
"vf","动词","趋向动词",""
"vg","动词","动词性语素","动词性语素。动词代码为v。在语素的代码g前面置以V。"
"vi","动词","不及物动词（内动词）",""
"vl","动词","动词性惯用语",""
"vn","动词","名动词","指具有名词功能的动词。动词和名词的代码并在一起。"
"vshi","动词","动词“是”",""
"vx","动词","形式动词",""
"vyou","动词","动词“有”",""
"w","标点","标点",""
"wb","标点","百分号千分号","全角：％ ‰   半角：%"
"wd","标点","逗号","全角：， 半角："
"wf","标点","分号","全角：； 半角： ;"
"wh","标点","单位符号","全角：￥ ＄ ￡  °  ℃  半角：$"
"wj","标点","句号","全角：。"
"wky","标点","右括号","全角：） 〕  ］ ｝ 》  】 〗 〉 半角： ) ] { >"
"wkz","标点","左括号","全角：（ 〔  ［  ｛  《 【  〖 〈   半角：( [ { <"
"wm","标点","冒号","全角：： 半角： :"
"wn","标点","顿号","全角：、"
"wp","标点","破折号","全角：——   －－   ——－   半角：—  —-"
"ws","标点","省略号","全角：……  …"
"wt","标点","叹号","全角：！"
"ww","标点","问号","全角：？"
"wyy","标点","右引号","全角：” ’ 』"
"wyz","标点","左引号","全角：“ ‘ 『"
"x","字符串","字符串","非语素字只是一个符号，字母x通常用于代表未知数、符号。"
"xu","字符串","网址URL",""
"xx","字符串","非语素字",""
"y","语气词","语气词","取汉字“语”的声母。"
"yg","语气词","语气语素","语气词性语素。语气词代码为y。在语素的代码g前面置以Y。"
"z","状态词","状态词","取汉字“状”的声母的前一个字母。"
"zg","状态词","状态词",""
